hhld_num,pers_num,trip_num,trip_purp,start_time,mode_prime,purp_orig,purp_dest,trip_km,trip_man_km,car_pool,region_orig,waterzn_orig,region_dest,waterzn_dest,expf
353931,1,2,4,745,D,O,W,25,30,1,12,121634,13,0,21
321907,1,1,3,1040,D,H,M,7,8,1,12,122127,12,120138,14.72
321907,1,2,4,1120,D,M,M,8,11,1,12,120138,12,122117,14.72
321907,1,3,4,1245,D,M,M,7,7,1,12,122117,12,120401,14.72
279943,2,4,4,1630,P,M,M,12,16,0,12,120851,13,0,14.5
281730,1,1,1,2215,D,H,W,22,29,1,12,121489,13,0,10.48
321950,1,1,1,825,D,H,W,5,6,1,12,121988,12,120138,15.39
321950,1,2,1,1200,D,W,H,5,6,1,12,120138,12,121988,15.39
321950,1,3,3,1315,D,H,R,5,6,1,12,121988,12,120138,15.39
321950,2,1,3,1745,D,H,M,1,1,1,12,121988,12,120344,15.39
321950,2,2,3,1800,D,M,H,1,1,1,12,120344,12,121988,15.39
532891,1,4,4,2140,D,O,O,0,0,1,12,121764,12,120942,10.91
286413,1,3,3,1000,D,O,H,0,1,1,12,121354,12,120118,29.09
322030,1,1,3,1000,D,H,O,62,74,2,12,121867,5,0,13.95
322030,2,1,3,1000,P,H,O,62,74,0,12,121867,5,0,13.95
606611,1,1,1,520,D,H,W,16,22,1,12,121797,13,0,40.32
288070,1,1,1,530,D,W,H,1,1,1,12,120748,12,121635,22.94
288070,2,1,1,740,D,H,W,11,14,1,12,121635,12,120012,22.94
769711,2,1,3,2005,D,H,M,2,2,2,12,121117,12,120342,18
769711,2,2,4,2025,D,M,O,1,1,2,12,120342,12,121090,18
835772,2,1,1,630,W,H,W,1,1,0,12,121961,12,120934,114.52
835772,2,2,1,1645,W,W,H,1,1,0,12,120934,12,121961,114.52
322081,1,6,4,1300,D,O,O,1,1,1,12,121645,12,121992,18.29
322081,1,7,3,1700,D,O,H,1,1,1,12,121992,12,121993,18.29
322081,1,8,3,1930,D,H,O,5,7,1,12,121993,12,121505,18.29
