hhld_num,dwell_type,income,n_person,n_vehicle,n_licence,n_emp_ft,n_emp_pt,n_emp_home,n_student,n_hhld_trip,region_hhld,pd_hhld,waterzn_hhld,expf,Pop
203915,1,6,3,2,3,2,0,0,1,8,12,64,122094,23.46,70.38
203923,1,5,4,2,3,0,0,0,1,8,12,64,120065,7.44,29.76
203973,1,4,2,4,2,2,0,0,0,3,12,63,120022,9.77,19.54
203988,1,4,4,1,2,1,0,1,2,4,12,64,122109,16.29,65.16
204021,1,2,2,2,2,0,0,0,0,2,12,63,121903,8.13,16.26
204089,1,5,4,2,2,2,0,2,0,8,12,64,120039,38.59,154.36
204096,1,4,3,3,3,2,0,1,0,4,12,64,122096,80.52,241.56
204135,1,5,2,2,2,2,0,0,0,4,12,69,120801,7.13,14.26
204151,2,2,1,0,0,0,0,0,0,0,12,64,121133,11.89,11.89
204167,1,3,2,2,2,1,1,0,0,2,12,64,121582,17.23,34.46
204169,1,7,2,1,1,1,0,0,0,2,12,64,122095,15.77,31.54
204208,2,7,2,2,2,0,1,0,0,14,12,64,121975,15.48,30.96
204215,2,2,1,0,0,0,0,0,0,4,12,64,121048,24.72,24.72
204259,1,5,3,3,2,1,1,0,1,7,12,63,120976,18.21,54.63
204304,1,3,1,1,1,1,0,0,0,2,12,64,121134,17.69,17.69
204318,1,7,2,2,2,1,0,0,0,2,12,64,122096,8.63,17.26
204319,1,7,1,1,1,0,1,0,0,2,12,65,121372,7.08,7.08
204320,1,7,2,1,1,0,1,0,0,6,12,65,121358,13.31,26.62
204321,2,2,2,1,2,1,0,0,0,2,12,64,121278,34.09,68.18
204347,1,4,2,2,2,2,0,0,0,4,12,65,121645,14.22,28.44
204375,1,4,5,4,4,2,1,0,0,10,12,64,120032,20.05,100.25
204376,2,4,1,1,1,0,0,0,0,9,12,65,120997,17.95,17.95
204396,2,7,2,2,2,0,0,0,0,4,12,68,120220,19.65,39.3
204399,1,4,3,2,3,2,1,0,0,14,12,64,120032,30.98,92.94
204410,1,6,3,2,3,1,0,1,1,2,12,65,121485,15.65,46.95
204443,1,6,3,3,3,1,1,1,0,10,12,64,121413,19.76,59.28
204482,2,2,1,0,0,0,0,0,0,0,12,65,121662,14.51,14.51
204543,1,5,4,2,2,2,0,0,2,5,12,64,121241,11.33,45.32
204549,1,7,4,2,2,2,0,0,2,12,12,64,120043,23.54,94.16
204572,1,1,2,3,2,0,0,0,0,11,12,64,121436,8.06,16.12
204601,1,4,2,2,2,2,0,0,0,5,12,63,122038,14.56,29.12
204614,1,3,2,1,2,0,0,0,0,2,12,64,121950,11.28,22.56
204709,3,2,1,1,1,0,0,0,0,0,12,64,121913,5.34,5.34
204742,1,3,2,2,2,0,1,0,0,7,12,63,122039,14.18,28.36
204757,2,2,2,1,2,0,0,0,0,8,12,64,122097,18.69,37.38
204768,1,2,2,1,2,0,0,0,0,2,12,65,121485,8.68,17.36
204784,1,4,2,2,2,1,0,0,0,2,12,65,120393,5.02,10.04
204811,1,3,3,2,2,2,0,0,1,10,12,67,120604,4.81,14.43
204836,1,4,5,3,4,2,1,1,0,4,12,64,120071,24.47,122.35
204885,1,7,1,1,1,1,0,1,0,4,12,65,121393,20.57,20.57
204906,3,3,2,2,2,1,1,0,0,7,12,65,121492,14.07,28.14
204930,3,3,1,1,1,1,0,0,0,2,12,64,121772,10.07,10.07
204958,1,7,1,1,0,0,0,0,0,2,12,65,120125,6.07,6.07
204961,1,4,2,2,2,2,0,1,1,4,12,64,120299,8.61,17.22
204971,1,6,3,2,2,1,0,0,1,12,12,65,122141,30.69,92.07
204985,3,5,2,2,2,1,0,0,0,2,12,64,121457,12.26,24.52
205033,1,7,2,2,2,0,0,0,0,8,12,67,120529,11.11,22.22
205035,3,4,1,1,1,1,0,0,0,2,12,65,120118,29.94,29.94
205064,1,7,3,2,2,2,0,0,0,6,12,64,120340,41.13,123.39
205138,1,6,2,2,2,2,0,0,0,4,12,64,121241,12.02,24.04
205208,2,4,2,1,2,0,0,0,0,4,12,64,121048,28.13,56.26
205218,1,7,2,2,2,0,0,0,0,2,12,66,120420,11.16,22.32
205369,1,7,4,3,3,3,0,0,0,8,12,64,121419,25.07,100.28
205432,1,5,4,2,2,2,0,0,0,6,12,64,121596,13.75,55
205436,1,3,1,3,1,1,0,0,0,4,12,65,121005,27.89,27.89
205475,1,4,5,1,2,2,1,0,3,8,12,64,122086,27.69,138.45
205479,3,5,2,1,1,1,0,0,1,8,12,64,121037,10.01,20.02
205534,1,5,1,2,1,1,0,0,0,4,12,63,122037,20.38,20.38
205550,1,3,2,1,2,0,2,0,0,6,12,63,121397,16.17,32.34
205589,1,7,3,2,3,0,1,0,0,6,12,64,122095,15.14,45.42
205637,1,3,2,2,2,1,0,0,0,4,12,65,121991,17.59,35.18
205646,1,7,2,2,2,0,0,0,0,2,12,63,122045,7.87,15.74
205651,2,7,1,1,1,0,0,0,0,2,12,64,120296,19.17,19.17
205676,1,5,4,3,3,2,0,0,2,10,12,64,121576,14.71,58.84
205698,2,1,1,0,0,0,0,0,0,0,12,64,120057,13.07,13.07
205783,2,6,2,3,2,2,0,0,0,4,12,65,120997,24.22,48.44
205795,1,7,2,1,2,0,0,0,0,4,12,64,122048,13.72,27.44
205834,3,3,2,2,2,0,0,0,0,2,12,65,121983,19.31,38.62
205860,1,5,2,2,2,2,0,0,0,4,12,64,121032,22.65,45.3
205875,1,2,1,0,0,0,0,0,0,4,12,64,121231,12.03,12.03
206000,1,2,2,1,1,0,1,0,0,2,12,64,122088,10.29,20.58
